Name,City,STATE,Greatest Snowfall,GreatestEndingDate,ValidDateRange,1 days QTY,1 days DATE,2 days QTY,2 days DATE,3 days QTY,3 days DATE,First 2 inches
MEDFORD ROGUE VLY AP,Medford,OR,24.1,12/31/1930, 1911-04-01 to 2017-06-06,11,12/11/1919,11.2,2/21/1917,11.9,2/21/1917,11/10/1911
EUGENE MAHLON SWEET AP,Eugene,OR,47.1,12/31/1969, 1938-06-01 to 2017-06-06,14,1/25/1969,27.9,1/26/1969,37.9,1/27/1969,11/16/1955
ASTORIA RGNL AP,Astoria,OR,27.3,12/31/1969, 1953-01-16 to 2017-06-06,10.8,1/12/1971,13.2,1/12/1971,,,11/16/1955
PORTLAND INTL AP,Portland,OR,44.5,12/31/1950, 1939-02-01 to 2017-06-06,14.4,1/21/1943,15.9,1/21/1943,15.9,1/22/1943,11/16/1955
PENDLETON E OR RGNL AP,Pendleton,OR,52.7,12/31/1950, 1928-01-01 to 2017-06-06,16.1,2/24/1994,16.1,2/25/1994,16.1,2/26/1994,10/31/1973
PHILA INTL AP,Philadelphia,PA,67.3,12/31/2010, 1940-06-20 to 2017-06-06,27.6,1/7/1996,30.7,1/8/1996,31,1/9/1996,10/10/1979
MIDDLETOWN HARRISBURG INTL AP,Harrisburg,PA,76,12/31/1994, 1941-02-02 to 2017-06-06,26.4,1/23/2016,30.2,1/23/2016,30.3,1/23/2016,10/29/2011
PITTSBURGH ASOS,Pittsburgh,PA,78.8,12/31/2010, 1948-01-01 to 2017-06-06,23.6,3/13/1993,24.6,3/13/1993,27.4,11/26/1950,10/31/1993
WILLIAMSPORT RGNL AP,Williamsport,PA,77.3,12/31/1994, 1945-01-01 to 2017-06-06,20,2/19/1972,24.1,1/13/1964,24.1,1/14/1964,11/2/1954
ERIE INTL AP,Erie,PA,165.7,12/31/2008, 1926-01-01 to 2017-06-06,20,11/22/1956,26.5,12/12/1944,30.2,12/31/2001,10/19/1930
Avoca Area,Avoca,PA,81.5,12/31/1994, 1901-01-01 to 2017-06-06,22.1,3/14/2017,23.6,3/15/2017,23.9,3/15/2017,10/26/1992
PROVIDENCE,Providence,RI,82.3,12/31/1945, 1932-06-01 to 2017-06-06,18.3,2/4/1961,28.6,2/7/1978,28.6,2/8/1978,11/4/1945
COLUMBIA METRO AP,Columbia,SC,18.2,12/31/1973, 1948-01-01 to 2017-06-06,12.3,2/10/1973,16,2/10/1973,16,2/11/1973,12/11/1958
GRNVL SPART INTL AP,Greenville,SC,19,12/31/1971, 1962-10-15 to 2017-06-06,12,1/7/1988,12,1/8/1988,12,1/9/1988,11/19/2000
CHARLESTON INTL AP,Charleston,SC,8.9,12/31/1989, 1938-03-01 to 2017-06-06,6,12/23/1989,7.5,12/23/1989,8,12/24/1989,12/15/1943
SIOUX FALLS FOSS FLD,Sioux Falls,SD,78.2,12/31/1983, 1893-01-01 to 2017-06-06,18.1,3/10/1956,31.8,2/18/1962,32.2,2/18/1962,10/1/1999
HURON RGNL AP,Huron,SD,80.5,12/31/1985, 1888-04-09 to 2017-06-06,19,3/14/2002,24.1,3/3/1985,25.6,3/4/1985,10/1/1999
LEAD,Lead,SD,326.7,12/31/2008, 1909-03-01 to 2017-06-06,52,3/14/1973,59.4,4/19/2006,74.1,2/27/1998,
RAPID CITY REGIONAL AP,Rapid City,SD,100.5,12/31/2013, 1948-05-01 to 2017-06-06,20,4/9/2013,25.7,4/10/2013,28.2,4/10/2013,9/13/1970
ABERDEEN RGNL AP,Aberdeen,SD,95.6,12/31/1937, 1893-01-01 to 2017-06-06,25,04/07/1894,25,04/08/1894,25,04/09/1894,10/7/1970
CHATTANOOGA LOVELL AP,Chattanooga,TN,22.7,12/31/1993, 1938-04-01 to 2017-06-06,18.5,3/13/1993,20,3/13/1993,20,3/14/1993,11/24/1950
MEMPHIS INTL AP,Memphis,TN,23.8,12/31/1968, 1940-01-01 to 2017-06-06,14.3,12/22/1963,16.1,3/22/1968,17.3,3/23/1968,12/13/1958
OAK RIDGE ATDD,Oak Ridge,TN,42.5,12/31/1960, 1948-08-01 to 2017-04-30,12,3/9/1960,12,3/13/1993,15.7,3/11/1960,
CROSSVILLE MEM AP,Crossville,TN,54.7,12/31/1960, 1954-04-21 to 2017-06-06,18,3/13/1993,20.5,3/13/1993,20.5,3/14/1993,11/2/1966
NASHVILLE INTL AP,Nashville,TN,38.7,12/31/1960, 1940-01-01 to 2017-06-06,8.2,3/22/1968,10.2,1/1/1964,10.5,2/8/1979,11/2/1966
